DATE,TEAM,PLAYER,INJURY,GAME STATUS
1/30/24,,Miles Bridges  SF,Elbow,Day-to-Day
1/30/24,,Jontay Porter  PF,Back,Day-to-Day
1/30/24,,Shai Gilgeous-Alexander  SG,Illness,Day-to-Day
1/30/24,,Cade Cunningham  PG,Knee,Day-to-Day
1/30/24,,Herbert Jones  SF,Adductor,Day-to-Day
1/30/24,,Joel Embiid  C,Knee,Out
1/29/24,,Isaiah Joe  SG,Sternum,Day-to-Day
1/29/24,,Jalen Williams  SG,Ankle,Day-to-Day
1/29/24,,Duncan Robinson  SF,Concussion,Day-to-Day
1/29/24,,OG Anunoby  SF,Elbow,Out
1/29/24,,Ziaire Williams  SF,Hand,Day-to-Day
1/29/24,,John Konchar  SG,Ankle,Day-to-Day
1/29/24,,Vince Williams Jr.  SG,Knee,Day-to-Day
1/29/24,,Jalen Smith  PF,Back,Day-to-Day
1/29/24,,Bennedict Mathurin  SG,Toe,Day-to-Day
1/29/24,,Grayson Allen  SG,Ankle,Out
1/28/24,,Markelle Fultz  PG,Rest,Out
1/28/24,,Al Horford  C,Neck,Day-to-Day
1/28/24,,Donovan Mitchell  SG,Groin,Day-to-Day
1/28/24,,Dejounte Murray  PG,Hamstring,Day-to-Day
1/28/24,,Dante Exum  PG,Knee,Out
1/28/24,,LaMelo Ball  PG,Ankle,Out
1/28/24,,Frank Ntilikina  PG,Hip,Day-to-Day
1/28/24,,RJ Barrett  SG,Knee,Day-to-Day
1/28/24,,Myles Turner  C,Back,Day-to-Day
1/28/24,,T.J. McConnell  PG,Personal,Day-to-Day
1/28/24,,Isaiah Stewart  C,Ankle,Day-to-Day
1/27/24,,Dorian Finney-Smith  PF,Ankle,Day-to-Day
1/27/24,,Jabari Walker  SF,Knee,Day-to-Day
1/27/24,,Anfernee Simons  SG,Rib,Day-to-Day
1/27/24,,Khris Middleton  SF,Knee,Day-to-Day
1/27/24,,Mike Conley  PG,Hamstring,Day-to-Day
1/27/24,,Joel Embiid  C,Knee,Out
1/27/24,,Luke Kennard  SG,Knee,Day-to-Day
1/27/24,,Julius Randle  PF,Shoulder,Out
1/27/24,,Zach Collins  PF,Ankle,Day-to-Day
1/27/24,,Patrick Williams  PF,Foot,Out For Season
1/27/24,,Jalen Smith  PF,Back,Day-to-Day
1/27/24,,Cade Cunningham  PG,Knee,Day-to-Day
1/27/24,,Monte Morris  PG,Quadriceps,Day-to-Day
1/27/24,,Bradley Beal  SG,Nose,Day-to-Day
1/27/24,,Luke Kornet  C,Hamstring,Day-to-Day
