Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,Unnamed: 14_level_0,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,Unnamed: 21_level_0,% of FG Ast'd,% of FG Ast'd,Unnamed: 24_level_0,Dunks,Dunks,Unnamed: 27_level_0,Corner 3s,Corner 3s,Unnamed: 30_level_0,Heaves,Heaves
Rk,Player,Age,G,MP,FG%,Dist.,Unnamed: 7_level_1,2P,0-3,3-10,10-16,16-3P,3P,Unnamed: 14_level_1,2P,0-3,3-10,10-16,16-3P,3P,Unnamed: 21_level_1,2P,3P,Unnamed: 24_level_1,%FGA,#,Unnamed: 27_level_1,%3PA,3P%,Unnamed: 30_level_1,Att.,#
10,Danuel House Jr.,30,34,509,0.448,14.5,,0.524,0.343,0.124,0.019,0.038,0.476,,0.582,0.694,0.308,1.0,0.25,0.3,,0.719,0.933,,0.038,4,,0.48,0.375,,2,0
11,KJ Martin,23,40,453,0.565,5.3,,0.861,0.648,0.213,0.0,0.0,0.139,,0.613,0.686,0.391,,,0.267,,0.807,1.0,,0.241,22,,0.733,0.364,,0,0
12,Robert Covington,33,26,419,0.449,15.8,,0.461,0.258,0.157,0.034,0.011,0.539,,0.561,0.609,0.571,0.333,0.0,0.354,,0.739,1.0,,0.022,2,,0.25,0.5,,0,0
13,Jaden Springer,21,32,377,0.39,12.0,,0.686,0.314,0.22,0.11,0.042,0.314,,0.469,0.649,0.269,0.385,0.4,0.216,,0.474,0.875,,0.059,7,,0.486,0.278,,0,0
14,Mo Bamba,25,35,370,0.473,9.1,,0.736,0.545,0.136,0.009,0.045,0.264,,0.494,0.55,0.333,1.0,0.2,0.414,,0.675,1.0,,0.164,17,,0.103,0.0,,0,0
15,Furkan Korkmaz,26,35,300,0.395,17.4,,0.474,0.184,0.171,0.053,0.066,0.526,,0.444,0.643,0.462,0.0,0.2,0.35,,0.75,0.714,,0.026,2,,0.1,0.5,,0,0
16,Buddy Hield,31,7,248,0.471,19.4,,0.373,0.167,0.108,0.02,0.078,0.627,,0.526,0.706,0.182,0.5,0.625,0.438,,0.6,0.857,,0.0,0,,0.109,0.429,,0,0
17,Ricky Council IV,22,17,156,0.476,9.8,,0.746,0.365,0.302,0.048,0.032,0.254,,0.553,0.609,0.474,0.667,0.5,0.25,,0.615,1.0,,0.079,4,,0.125,0.0,,0,0
18,Cameron Payne,29,7,140,0.403,16.3,,0.516,0.177,0.242,0.048,0.048,0.484,,0.469,0.455,0.533,0.333,0.333,0.333,,0.333,0.8,,0.0,0,,0.033,0.0,,0,0
19,Terquavion Smith,21,12,69,0.4,21.7,,0.225,0.15,0.025,0.025,0.025,0.775,,0.444,0.667,0.0,0.0,0.0,0.387,,0.0,0.833,,0.05,2,,0.097,0.333,,0,0
20,P.J. Tucker,38,3,66,0.4,23.5,,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,0.4,,,1.0,,0.0,0,,1.0,0.4,,0,0
21,Kyle Lowry,37,2,46,0.667,13.5,,0.556,0.333,0.222,0.0,0.0,0.444,,0.8,1.0,0.5,,,0.5,,1.0,1.0,,0.0,0,,0.5,0.5,,0,0
22,Danny Green,36,2,18,0.0,22.5,,0.5,0.0,0.0,0.0,0.5,0.5,,0.0,,,,0.0,0.0,,,,,0.0,0,,1.0,0.0,,0,0
23,Kenneth Lofton Jr.,21,2,9,0.167,12.5,,0.667,0.333,0.167,0.167,0.0,0.333,,0.25,0.5,0.0,0.0,,0.0,,1.0,,,0.0,0,,0.0,,,0,0
24,Darius Bazley,23,2,6,0.0,0.8,,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,1.0,0,,,,,0,0
25,Filip Petrušev,23,1,3,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,0
26,Javonte Smart,24,1,1,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,0
