Unnamed: 0,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,GameDetails
8,Moritz Wagner,18:28,4.0,8.0,0.5,1.0,1.0,1.0,6.0,8.0,0.75,1.0,3.0,4.0,1.0,0.0,0.0,0.0,2.0,15.0,-10.0,ClevelandCavaliersatOrlandoMagicBoxScore January22
7,Moritz Wagner,26:04,8.0,13.0,0.615,1.0,4.0,0.25,2.0,2.0,1.0,0.0,5.0,5.0,0.0,1.0,0.0,2.0,3.0,19.0,-15.0,DallasMavericksatOrlandoMagicBoxScore November6
9,Moritz Wagner,15:17,4.0,7.0,0.571,1.0,3.0,0.333,3.0,4.0,0.75,1.0,2.0,3.0,1.0,1.0,0.0,1.0,1.0,12.0,6.0,DenverNuggetsatOrlandoMagicBoxScore November22
8,Moritz Wagner,16:13,2.0,4.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,2.0,0.0,0.0,2.0,1.0,4.0,5.0,DetroitPistonsatOrlandoMagicBoxScore December8
9,Moritz Wagner,15:21,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0,4.0,4.0,0.0,0.0,1.0,3.0,4.0,2.0,13.0,HoustonRocketsatOrlandoMagicBoxScore October25
8,Moritz Wagner,17:32,5.0,8.0,0.625,0.0,0.0,0.0,1.0,1.0,1.0,5.0,2.0,7.0,1.0,0.0,0.0,2.0,5.0,11.0,2.0,MiamiHeatatOrlandoMagicBoxScore December20
10,Moritz Wagner,10:52,1.0,3.0,0.333,0.0,0.0,0.0,6.0,8.0,0.75,3.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,8.0,1.0,MiamiHeatatOrlandoMagicBoxScore January21
7,Moritz Wagner,21:18,7.0,9.0,0.778,1.0,1.0,1.0,4.0,5.0,0.8,3.0,1.0,4.0,1.0,1.0,0.0,1.0,2.0,19.0,11.0,MilwaukeeBucksatOrlandoMagicBoxScore November11
6,Moritz Wagner,31:27,6.0,9.0,0.667,1.0,4.0,0.25,8.0,11.0,0.727,3.0,5.0,8.0,2.0,2.0,0.0,1.0,3.0,21.0,-13.0,MinnesotaTimberwolvesatOrlandoMagicBoxScore January9
8,Moritz Wagner,17:34,2.0,8.0,0.25,0.0,3.0,0.0,3.0,3.0,1.0,4.0,7.0,11.0,1.0,0.0,1.0,1.0,1.0,7.0,-7.0,NewYorkKnicksatOrlandoMagicBoxScore December29
11,Moritz Wagner,0:04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OrlandoMagicatSacramentoKingsBoxScore January3
8,Moritz Wagner,15:47,0.0,3.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,2.0,2.0,-2.0,Philadelphia76ersatOrlandoMagicBoxScore December27
12,Moritz Wagner,6:23,1.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,-5.0,Philadelphia76ersatOrlandoMagicBoxScore January19
7,Moritz Wagner,22:45,5.0,13.0,0.385,0.0,0.0,0.0,6.0,8.0,0.75,5.0,7.0,12.0,1.0,1.0,1.0,0.0,1.0,16.0,20.0,PhoenixSunsatOrlandoMagicBoxScore January28
9,Moritz Wagner,16:13,4.0,9.0,0.444,0.0,1.0,0.0,3.0,3.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,3.0,3.0,11.0,-2.0,SanAntonioSpursatOrlandoMagicBoxScore February8
8,Moritz Wagner,15:29,5.0,9.0,0.556,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,2.0,1.0,0.0,1.0,0.0,10.0,8.0,TorontoRaptorsatOrlandoMagicBoxScore November21
7,Moritz Wagner,22:53,8.0,13.0,0.615,0.0,2.0,0.0,2.0,3.0,0.667,4.0,2.0,6.0,0.0,1.0,1.0,3.0,1.0,18.0,9.0,WashingtonWizardsatOrlandoMagicBoxScore December1
9,Moritz Wagner,18:30,5.0,7.0,0.714,0.0,1.0,0.0,1.0,1.0,1.0,0.0,4.0,4.0,1.0,0.0,1.0,2.0,1.0,11.0,18.0,WashingtonWizardsatOrlandoMagicBoxScore November29
