Unnamed: 0,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,GameDetails
7,Obi Toppin,29:29,4.0,9.0,0.444,1.0,3.0,0.333,2.0,2.0,1.0,2.0,1.0,3.0,2.0,1.0,0.0,0.0,4.0,11.0,35.0,IndianaPacersatMilwaukeeBucksBoxScore January1
4,Obi Toppin,16:49,3.0,4.0,0.75,1.0,2.0,0.5,0.0,0.0,0.0,2.0,2.0,4.0,1.0,0.0,0.0,1.0,2.0,7.0,-17.0,IndianaPacersatMinnesotaTimberwolvesBoxScore December16
9,Obi Toppin,21:55,4.0,10.0,0.4,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,2.0,1.0,2.0,1.0,0.0,12.0,3.0,IndianaPacersatNewYorkKnicksBoxScore February1
4,Obi Toppin,21:07,6.0,7.0,0.857,2.0,3.0,0.667,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,14.0,-14.0,IndianaPacersatPhiladelphia76ersBoxScore November12
1,Obi Toppin,36:40,12.0,15.0,0.8,1.0,3.0,0.333,2.0,4.0,0.5,1.0,5.0,6.0,1.0,0.0,1.0,0.0,1.0,27.0,13.0,IndianaPacersatPhiladelphia76ersBoxScore November14
6,Obi Toppin,25:55,6.0,12.0,0.5,0.0,2.0,0.0,1.0,2.0,0.5,2.0,4.0,6.0,1.0,0.0,0.0,0.0,1.0,13.0,4.0,IndianaPacersatPhoenixSunsBoxScore January21
9,Obi Toppin,11:20,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,-16.0,IndianaPacersatPortlandTrailBlazersBoxScore January19
7,Obi Toppin,24:23,4.0,6.0,0.667,2.0,4.0,0.5,0.0,0.0,0.0,0.0,3.0,3.0,4.0,0.0,1.0,0.0,1.0,10.0,21.0,IndianaPacersatSacramentoKingsBoxScore January18
10,Obi Toppin,13:02,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,2.0,1.0,0.0,0.0,1.0,2.0,5.0,IndianaPacersatUtahJazzBoxScore January15
2,Obi Toppin,26:23,6.0,8.0,0.75,2.0,3.0,0.667,2.0,3.0,0.667,1.0,4.0,5.0,2.0,0.0,0.0,1.0,2.0,16.0,-11.0,IndianaPacersatWashingtonWizardsBoxScore December15
7,Obi Toppin,22:09,3.0,6.0,0.5,3.0,5.0,0.6,0.0,0.0,0.0,0.0,3.0,3.0,2.0,1.0,0.0,1.0,2.0,9.0,23.0,AtlantaHawksatIndianaPacersBoxScore January5
