Unnamed: 0,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,GameDetails
2,Joel Embiid,37:26,10.0,20.0,0.5,1.0,4.0,0.25,6.0,6.0,1.0,1.0,9.0,10.0,4.0,1.0,4.0,6.0,3.0,27.0,4.0,BostonCelticsatPhiladelphia76ersBoxScore November8
1,Joel Embiid,37:01,15.0,28.0,0.536,2.0,6.0,0.333,8.0,9.0,0.889,1.0,13.0,14.0,6.0,0.0,2.0,4.0,5.0,40.0,-5.0,ChicagoBullsatPhiladelphia76ersBoxScore December18
0,Joel Embiid,31:27,10.0,20.0,0.5,2.0,5.0,0.4,9.0,12.0,0.75,0.0,15.0,15.0,10.0,1.0,2.0,4.0,4.0,31.0,32.0,ChicagoBullsatPhiladelphia76ersBoxScore January2
1,Joel Embiid,38:33,13.0,22.0,0.591,3.0,6.0,0.5,12.0,15.0,0.8,1.0,6.0,7.0,10.0,0.0,1.0,3.0,4.0,41.0,0.0,DenverNuggetsatPhiladelphia76ersBoxScore January16
0,Joel Embiid,29:04,9.0,19.0,0.474,2.0,3.0,0.667,15.0,16.0,0.938,0.0,13.0,13.0,2.0,2.0,4.0,4.0,2.0,35.0,28.0,DetroitPistonsatPhiladelphia76ersBoxScore December15
1,Joel Embiid,31:16,12.0,21.0,0.571,1.0,5.0,0.2,16.0,17.0,0.941,2.0,8.0,10.0,3.0,1.0,1.0,2.0,5.0,41.0,7.0,HoustonRocketsatPhiladelphia76ersBoxScore January15
3,Joel Embiid,32:54,12.0,26.0,0.462,1.0,4.0,0.25,12.0,14.0,0.857,8.0,5.0,13.0,7.0,1.0,1.0,3.0,2.0,37.0,-1.0,IndianaPacersatPhiladelphia76ersBoxScore November12
1,Joel Embiid,37:40,11.0,22.0,0.5,0.0,4.0,0.0,17.0,17.0,1.0,3.0,9.0,12.0,6.0,3.0,0.0,5.0,4.0,39.0,-9.0,IndianaPacersatPhiladelphia76ersBoxScore November14
1,Joel Embiid,30:50,9.0,15.0,0.6,2.0,3.0,0.667,10.0,12.0,0.833,4.0,7.0,11.0,11.0,1.0,1.0,3.0,2.0,30.0,11.0,LosAngelesLakersatPhiladelphia76ersBoxScore November27
2,Joel Embiid,36:08,17.0,25.0,0.68,0.0,1.0,0.0,17.0,18.0,0.944,2.0,10.0,12.0,3.0,2.0,1.0,2.0,5.0,51.0,4.0,MinnesotaTimberwolvesatPhiladelphia76ersBoxScore December20
1,Joel Embiid,36:13,10.0,23.0,0.435,1.0,1.0,1.0,9.0,12.0,0.75,3.0,7.0,10.0,3.0,1.0,3.0,6.0,3.0,30.0,-29.0,NewYorkKnicksatPhiladelphia76ersBoxScore January5
3,Joel Embiid,30:57,9.0,18.0,0.5,3.0,3.0,1.0,5.0,5.0,1.0,3.0,8.0,11.0,3.0,0.0,1.0,4.0,2.0,26.0,4.0,PhoenixSunsatPhiladelphia76ersBoxScore November4
3,Joel Embiid,29:25,12.0,22.0,0.545,2.0,4.0,0.5,9.0,12.0,0.75,5.0,10.0,15.0,7.0,2.0,6.0,3.0,3.0,35.0,28.0,PortlandTrailBlazersatPhiladelphia76ersBoxScore October29
1,Joel Embiid,36:38,24.0,41.0,0.585,1.0,2.0,0.5,21.0,23.0,0.913,9.0,9.0,18.0,5.0,1.0,1.0,1.0,2.0,70.0,11.0,SanAntonioSpursatPhiladelphia76ersBoxScore January22
2,Joel Embiid,34:59,11.0,21.0,0.524,2.0,2.0,1.0,7.0,8.0,0.875,1.0,9.0,10.0,9.0,2.0,4.0,6.0,1.0,31.0,2.0,TorontoRaptorsatPhiladelphia76ersBoxScore December22
2,Joel Embiid,34:45,8.0,22.0,0.364,0.0,2.0,0.0,12.0,13.0,0.923,5.0,8.0,13.0,7.0,0.0,1.0,4.0,2.0,28.0,22.0,TorontoRaptorsatPhiladelphia76ersBoxScore November2
12,Joel Embiid,Did Not Dress,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UtahJazzatPhiladelphia76ersBoxScore January6
1,Joel Embiid,29:36,14.0,20.0,0.7,2.0,5.0,0.4,4.0,4.0,1.0,0.0,11.0,11.0,6.0,2.0,1.0,7.0,4.0,34.0,30.0,WashingtonWizardsatPhiladelphia76ersBoxScore December11
2,Joel Embiid,30:31,17.0,25.0,0.68,0.0,2.0,0.0,14.0,14.0,1.0,2.0,9.0,11.0,6.0,1.0,1.0,1.0,2.0,48.0,15.0,WashingtonWizardsatPhiladelphia76ersBoxScore November6
