,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
81,Jaylen Brown,SF,27,BOS,46,46,33.2,8.6,17.5,.491,2.0,5.8,.348,6.6,11.7,.562,.549,3.1,4.3,.727,1.1,4.3,5.4,3.7,1.1,0.6,2.4,2.6,22.3
82,Kendall Brown,SG,20,IND,4,0,4.5,0.5,1.3,.400,0.0,0.3,.000,0.5,1.0,.500,.400,1.0,1.5,.667,0.5,0.0,0.5,0.3,0.0,0.0,0.0,1.0,2.0
83,Kobe Brown,PF,24,LAC,29,0,9.2,0.8,2.0,.373,0.4,1.3,.289,0.4,0.7,.524,.466,0.0,0.1,.500,0.3,1.1,1.4,0.6,0.2,0.1,0.2,1.4,1.9
84,Moses Brown,C,24,POR,9,4,9.1,1.0,2.3,.429,0.0,0.0,,1.0,2.3,.429,.429,0.0,0.4,.000,2.0,3.1,5.1,0.2,0.2,0.3,0.4,1.2,2.0
85,Troy Brown Jr.,SF,24,MIN,36,3,11.3,1.4,3.3,.441,0.9,2.3,.369,0.6,0.9,.618,.572,0.5,0.6,.864,0.4,1.6,2.0,1.0,0.2,0.1,0.5,0.7,4.3
86,Jalen Brunson,PG,27,NYK,47,47,35.7,9.6,19.9,.481,2.7,6.6,.417,6.8,13.3,.512,.550,5.2,6.2,.835,0.6,3.3,3.9,6.4,0.9,0.2,2.3,2.1,27.1
87,Thomas Bryant,C,26,MIA,25,3,10.4,1.8,3.1,.571,0.0,0.2,.000,1.8,2.9,.603,.571,0.7,0.9,.818,1.0,2.1,3.1,0.6,0.2,0.2,0.6,1.0,4.2
88,Kobe Bufkin,SG,20,ATL,3,0,2.0,0.3,1.3,.250,0.3,0.7,.500,0.0,0.7,.000,.375,0.3,0.7,.500,0.3,0.7,1.0,0.3,0.0,0.0,0.0,0.0,1.3
89,Reggie Bullock,SF,32,HOU,18,0,9.2,0.9,2.1,.421,0.6,1.6,.393,0.3,0.6,.500,.566,0.1,0.1,1.000,0.1,1.2,1.3,0.5,0.2,0.1,0.3,0.5,2.4
90,Alec Burks,SG,32,DET,40,0,20.8,3.7,9.4,.393,2.3,5.8,.400,1.4,3.7,.381,.515,2.8,3.1,.895,0.4,2.1,2.5,1.6,0.5,0.3,0.8,1.5,12.5
91,Jared Butler,SG,23,WAS,17,0,7.5,1.6,2.9,.560,0.6,1.4,.417,1.1,1.5,.692,.660,0.7,0.9,.800,0.0,0.6,0.6,1.8,0.5,0.1,0.6,0.8,4.6
92,Jimmy Butler,PF,34,MIA,33,33,33.8,6.7,13.5,.498,0.9,2.2,.437,5.8,11.4,.509,.533,7.0,8.0,.879,2.0,3.1,5.2,4.4,1.2,0.3,1.7,1.2,21.4
93,Jamal Cain,PF,24,MIA,14,1,14.9,2.1,4.7,.439,0.6,1.8,.320,1.5,2.9,.512,.500,1.0,1.4,.737,0.9,1.2,2.1,0.2,0.6,0.3,0.3,1.1,5.7
94,Kentavious Caldwell-Pope,SG,30,DEN,47,47,32.4,3.6,7.9,.448,1.5,3.9,.379,2.1,4.1,.513,.540,1.5,1.7,.910,0.4,1.9,2.4,2.4,1.4,0.5,1.0,2.0,10.1
95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Toumani Camara,PF,23,POR,47,29,23.6,2.5,6.0,.414,0.7,2.5,.280,1.8,3.4,.512,.473,1.0,1.4,.701,1.9,2.9,4.7,1.0,1.0,0.5,1.1,2.5,6.6
97,Clint Capela,C,29,ATL,45,45,25.8,4.8,8.3,.572,0.0,0.0,,4.8,8.3,.572,.572,1.8,2.8,.654,4.7,5.7,10.5,1.0,0.6,1.6,0.9,2.5,11.4
98,Jevon Carter,PG,28,CHI,47,0,13.8,1.9,5.3,.364,1.2,3.4,.340,0.8,1.9,.409,.474,0.1,0.1,.600,0.1,0.7,0.8,1.2,0.5,0.3,0.5,1.0,5.1
99,Wendell Carter Jr.,C,24,ORL,22,16,25.5,4.0,7.7,.515,1.1,2.7,.417,2.8,5.0,.569,.589,2.0,2.7,.763,2.0,4.6,6.6,1.6,0.5,0.5,1.1,2.3,11.1
100,Alex Caruso,SG,29,CHI,42,30,26.4,3.5,7.3,.487,1.8,4.4,.409,1.7,2.9,.608,.611,1.2,1.6,.758,1.0,2.6,3.6,2.7,1.3,1.0,1.3,2.5,10.1
101,Colin Castleton,C,23,LAL,5,0,6.4,1.2,1.8,.667,0.0,0.0,,1.2,1.8,.667,.667,0.8,0.8,1.000,0.8,1.0,1.8,0.6,0.0,0.0,0.2,1.2,3.2
102,Malcolm Cazalon,SG,22,DET,1,0,3.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,Julian Champagnie,SF,22,SAS,41,26,16.0,1.9,4.7,.403,1.3,3.4,.393,0.5,1.2,.431,.547,0.8,0.9,.842,0.4,1.8,2.2,1.0,0.6,0.5,0.7,1.0,5.9
104,Max Christie,SG,20,LAL,40,6,17.0,1.8,4.3,.416,0.7,2.1,.333,1.1,2.2,.494,.497,0.7,0.8,.813,0.2,2.5,2.7,1.0,0.4,0.3,0.8,1.3,5.0
105,Sidy Cissoko,SF,19,SAS,5,0,6.4,0.2,1.2,.167,0.0,0.8,.000,0.2,0.4,.500,.167,0.8,0.8,1.000,0.0,1.2,1.2,0.0,0.6,0.0,0.2,0.4,1.2
106,Jordan Clarkson,SG,31,UTA,40,19,30.1,6.4,15.2,.419,1.7,5.6,.296,4.7,9.6,.491,.474,3.3,3.7,.879,1.0,2.5,3.4,4.9,0.6,0.1,2.8,1.4,17.6
107,Nic Claxton,C,24,BRK,37,37,29.8,5.4,8.6,.632,0.0,0.1,.333,5.4,8.5,.635,.634,1.5,2.7,.556,3.0,7.3,10.4,1.9,0.7,2.1,1.2,2.6,12.4
108,Noah Clowney,PF,19,BRK,3,0,10.0,2.0,3.3,.600,0.0,0.3,.000,2.0,3.0,.667,.600,1.3,1.3,1.000,1.0,1.3,2.3,1.0,0.0,0.3,0.3,1.0,5.3
