,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
148,Anthony Edwards,SG,22,MIN,45,45,34.9,8.8,19.0,.464,2.5,6.3,.389,6.3,12.6,.502,.529,5.5,6.5,.842,0.6,4.6,5.2,5.2,1.2,0.5,3.4,1.9,25.5
149,Kessler Edwards,SF,23,SAC,31,0,4.7,0.5,1.4,.395,0.3,0.8,.346,0.3,0.5,.471,.500,0.1,0.1,.750,0.2,0.5,0.7,0.3,0.1,0.1,0.0,0.4,1.5
150,Keon Ellis,SG,24,SAC,28,3,12.2,1.3,3.0,.434,0.9,2.4,.382,0.4,0.5,.667,.590,0.4,0.6,.647,0.3,1.0,1.3,1.3,0.5,0.4,0.5,1.4,3.9
151,Joel Embiid,C,29,PHI,34,34,34.0,11.8,22.2,.533,1.2,3.3,.366,10.6,18.9,.562,.560,10.5,11.9,.883,2.6,8.7,11.3,5.7,1.1,1.8,3.7,2.9,35.3
152,Drew Eubanks,C,26,PHO,42,3,16.1,2.3,3.7,.630,0.1,0.1,1.000,2.2,3.6,.623,.640,1.0,1.4,.741,1.4,2.9,4.3,1.0,0.3,0.8,1.0,1.7,5.7
153,Dante Exum,PG,28,DAL,32,14,19.7,3.6,6.3,.571,1.0,2.0,.477,2.7,4.3,.616,.648,1.0,1.4,.727,0.6,2.2,2.8,2.8,0.6,0.2,0.8,1.6,9.2
154,Bruno Fernando,C,25,ATL,13,0,6.5,1.1,2.1,.519,0.0,0.2,.000,1.1,1.8,.583,.519,0.8,1.5,.526,0.5,1.5,2.0,0.3,0.2,0.4,0.5,0.9,2.9
155,Dorian Finney-Smith,PF,30,BRK,42,31,28.8,3.3,8.1,.412,2.1,5.5,.383,1.2,2.6,.473,.541,0.3,0.5,.700,1.7,3.1,4.8,1.4,0.7,0.6,0.8,2.2,9.1
156,Malachi Flynn,PG,25,TOT,43,0,12.1,1.4,3.6,.403,0.7,2.1,.333,0.7,1.5,.500,.500,0.6,0.7,.781,0.3,1.3,1.6,1.8,0.4,0.1,0.8,1.0,4.2
157,Malachi Flynn,PG,25,TOR,31,0,15.3,1.8,4.4,.409,0.9,2.6,.350,0.9,1.8,.491,.511,0.5,0.7,.773,0.4,1.7,2.1,2.4,0.6,0.2,1.1,1.4,5.1
158,Malachi Flynn,PG,25,NYK,12,0,3.8,0.5,1.4,.353,0.2,0.8,.200,0.3,0.6,.571,.412,0.7,0.8,.800,0.0,0.4,0.4,0.4,0.1,0.0,0.2,0.3,1.8
159,Simone Fontecchio,SF,28,UTA,48,32,23.1,3.3,7.3,.448,1.9,4.8,.395,1.4,2.5,.550,.578,0.6,0.8,.789,1.0,2.5,3.5,1.4,0.6,0.4,1.0,1.7,9.0
160,Jordan Ford,PG,25,SAC,6,0,3.7,0.7,1.2,.571,0.3,0.5,.667,0.3,0.7,.500,.714,0.3,0.3,1.000,0.0,0.3,0.3,0.3,0.0,0.0,0.2,0.0,2.0
161,Trent Forrest,SG,25,ATL,19,0,10.6,0.8,2.5,.319,0.1,0.4,.286,0.7,2.1,.325,.340,0.4,0.5,.800,0.3,1.1,1.4,2.0,0.4,0.1,0.5,0.9,2.1
162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,Evan Fournier,SG,31,NYK,3,0,13.0,1.3,6.7,.200,0.7,5.0,.133,0.7,1.7,.400,.250,0.7,0.7,1.000,0.0,1.3,1.3,1.0,1.3,0.0,0.3,1.3,4.0
164,De'Aaron Fox,PG,26,SAC,40,40,35.6,9.6,20.6,.467,3.0,7.9,.380,6.6,12.7,.521,.539,4.9,6.8,.724,0.9,3.2,4.1,5.5,1.6,0.4,2.5,2.5,27.2
165,Javon Freeman-Liberty,PG,24,TOR,2,0,2.0,0.5,1.5,.333,0.0,0.0,,0.5,1.5,.333,.333,0.0,0.0,,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0
166,Alex Fudge,SF,20,LAL,4,0,3.5,0.3,1.5,.167,0.0,0.5,.000,0.3,1.0,.250,.167,0.5,0.5,1.000,0.5,0.0,0.5,0.0,0.0,0.0,0.3,0.3,1.0
167,Markelle Fultz,PG,25,ORL,15,9,24.7,4.3,8.3,.512,0.0,0.2,.000,4.3,8.1,.525,.512,0.4,0.9,.462,1.3,1.9,3.2,3.7,1.4,0.3,1.1,1.7,8.9
168,Daniel Gafford,C,25,WAS,42,42,26.2,4.4,6.4,.693,0.0,0.0,,4.4,6.4,.693,.693,1.9,2.7,.708,2.8,5.0,7.8,1.6,1.0,2.1,1.0,3.3,10.7
169,Danilo Gallinari,PF-SF,35,TOT,29,0,14.9,2.3,5.0,.465,0.9,2.4,.371,1.4,2.6,.554,.556,2.0,2.4,.841,0.4,2.4,2.9,1.3,0.2,0.1,0.4,1.0,7.5
170,Danilo Gallinari,PF,35,WAS,26,0,14.8,2.2,5.0,.435,0.8,2.5,.313,1.4,2.6,.552,.511,1.8,2.2,.839,0.5,2.5,2.9,1.2,0.2,0.1,0.5,1.0,7.0
171,Danilo Gallinari,SF,35,DET,3,0,16.0,3.3,4.3,.769,2.0,2.0,1.000,1.3,2.3,.571,1.000,3.7,4.3,.846,0.0,2.3,2.3,2.3,0.3,0.0,0.0,1.0,12.3
172,Darius Garland,PG,24,CLE,22,22,32.9,7.4,15.6,.472,1.8,5.1,.345,5.6,10.5,.535,.529,3.6,4.3,.840,0.5,2.0,2.6,5.8,1.6,0.2,3.6,1.5,20.1
173,Usman Garuba,PF,21,GSW,2,0,3.0,0.0,0.5,.000,0.0,0.0,,0.0,0.5,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.0
174,Luka Garza,C,25,MIN,10,0,2.8,0.8,2.1,.381,0.1,0.6,.167,0.7,1.5,.467,.405,0.6,1.0,.600,0.5,0.4,0.9,0.2,0.0,0.0,0.2,0.8,2.3
175,Kaiser Gates,SF,27,NOP,1,0,7.0,0.0,4.0,.000,0.0,2.0,.000,0.0,2.0,.000,.000,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
176,Keyonte George,PG,20,UTA,44,16,24.1,3.4,9.1,.378,1.6,5.1,.323,1.8,4.0,.446,.468,2.5,3.1,.824,0.3,2.5,2.8,4.2,0.4,0.1,2.0,1.0,11.0
177,Paul George,PF,33,LAC,43,43,34.1,8.0,17.4,.463,3.4,8.3,.412,4.6,9.0,.510,.562,3.5,3.8,.909,0.6,4.8,5.5,3.5,1.6,0.4,2.1,2.9,23.0
178,Taj Gibson,PF,38,NYK,11,0,8.8,0.6,1.3,.500,0.0,0.4,.000,0.6,0.9,.700,.500,0.0,0.0,,0.5,1.1,1.6,0.5,0.1,0.5,0.2,1.8,1.3
179,Josh Giddey,SG,21,OKC,47,47,24.8,4.7,10.4,.450,0.9,2.8,.331,3.8,7.7,.493,.494,1.2,1.5,.812,1.4,4.9,6.3,4.6,0.7,0.5,2.1,1.2,11.5
180,Harry Giles,C,25,BRK,15,0,4.9,1.3,2.5,.500,0.1,0.7,.200,1.1,1.9,.607,.526,0.4,0.7,.545,0.7,0.8,1.5,0.3,0.1,0.2,0.4,0.8,3.1
181,Shai Gilgeous-Alexander,PG,25,OKC,47,47,34.4,10.9,20.1,.545,1.2,3.4,.348,9.7,16.6,.586,.575,8.3,9.3,.892,0.9,4.7,5.6,6.4,2.2,0.8,2.2,2.6,31.3
182,Anthony Gill,PF,31,WAS,27,0,5.8,0.9,1.7,.500,0.1,0.4,.250,0.7,1.3,.588,.533,0.4,0.6,.750,0.5,0.9,1.3,0.4,0.1,0.2,0.4,0.4,2.3
183,Collin Gillespie,PG,24,DEN,14,0,6.9,0.8,1.7,.458,0.3,0.9,.308,0.5,0.8,.636,.542,0.3,0.4,.800,0.1,0.3,0.4,0.6,0.4,0.0,0.4,0.9,2.1
184,Jacob Gilyard,PG,25,MEM,31,10,16.3,1.3,3.3,.398,1.1,2.7,.412,0.2,0.6,.333,.568,0.0,0.0,1.000,0.2,0.8,1.0,3.3,0.6,0.1,0.6,0.9,3.8
185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,Rudy Gobert,C,31,MIN,47,47,33.1,5.1,8.0,.639,0.0,0.0,.000,5.1,7.9,.642,.639,3.3,5.1,.632,3.4,9.0,12.4,1.2,0.6,2.1,1.6,2.9,13.4
187,Jordan Goodwin,PG,25,PHO,38,0,14.4,1.9,5.0,.384,0.6,2.1,.288,1.3,2.9,.455,.445,0.6,0.7,.852,1.1,2.0,3.1,2.0,0.6,0.2,0.8,1.1,5.1
188,Aaron Gordon,PF,28,DEN,43,43,32.0,5.4,10.0,.538,0.6,1.9,.300,4.8,8.1,.593,.566,2.3,3.7,.614,2.6,4.1,6.7,3.1,0.8,0.7,1.3,1.9,13.6
189,Eric Gordon,SG,35,PHO,40,20,30.3,4.7,10.4,.454,2.6,6.7,.383,2.2,3.8,.580,.577,0.8,1.0,.780,0.3,1.8,2.2,2.4,1.0,0.5,1.3,1.3,12.8
190,Devonte' Graham,PG,28,SAS,10,0,8.8,1.1,2.8,.393,0.7,2.0,.350,0.4,0.8,.500,.518,0.6,0.8,.750,0.2,1.1,1.3,1.9,0.3,0.1,0.3,0.4,3.5
191,Jerami Grant,PF,29,POR,43,43,33.6,7.3,15.8,.461,2.1,5.1,.403,5.2,10.7,.489,.527,4.6,5.7,.809,0.7,3.0,3.7,2.6,0.7,0.7,2.0,2.2,21.3
192,A.J. Green,SG,24,MIL,28,0,7.5,1.1,2.6,.425,0.9,2.3,.413,0.2,0.4,.500,.603,0.1,0.1,1.000,0.2,0.6,0.8,0.6,0.0,0.0,0.0,0.9,3.3
193,Danny Green,SG,36,PHI,2,0,9.0,0.0,1.0,.000,0.0,0.5,.000,0.0,0.5,.000,.000,0.0,0.0,,0.0,1.0,1.0,0.5,0.5,0.0,0.0,0.5,0.0
194,Draymond Green,PF,33,GSW,20,17,26.5,3.3,6.7,.485,1.2,2.8,.418,2.1,4.0,.532,.571,1.7,2.1,.805,1.2,4.8,6.0,6.1,0.8,0.8,2.4,3.2,9.3
195,Jalen Green,SG,21,HOU,47,47,30.9,6.3,15.1,.414,2.2,6.7,.325,4.1,8.4,.485,.486,3.8,4.6,.816,0.4,4.4,4.9,3.3,0.7,0.3,2.1,1.3,18.4
196,Jeff Green,PF,37,HOU,45,4,16.6,2.0,4.0,.497,0.4,1.3,.281,1.6,2.8,.597,.541,1.7,2.1,.830,0.6,1.4,2.0,0.7,0.2,0.5,0.6,1.4,6.1
197,Josh Green,SG,23,DAL,35,18,26.9,3.1,6.7,.470,1.3,3.3,.393,1.8,3.3,.547,.568,0.6,1.0,.556,0.6,2.4,3.0,2.5,0.7,0.1,1.1,2.1,8.2
198,AJ Griffin,SF,20,ATL,18,0,7.3,0.7,2.5,.289,0.5,1.8,.273,0.2,0.7,.333,.389,0.1,0.1,1.000,0.1,0.7,0.8,0.2,0.1,0.1,0.3,0.3,2.1
199,Quentin Grimes,SG,23,NYK,45,18,20.2,2.5,6.4,.395,1.7,4.7,.363,0.8,1.6,.486,.530,0.5,0.8,.706,0.3,1.6,2.0,1.2,0.7,0.1,0.5,1.5,7.3
200,Mouhamed Gueye,PF,21,ATL,2,0,2.0,0.0,0.5,.000,0.0,0.5,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0
201,Rui Hachimura,PF,25,LAL,36,7,23.1,4.3,8.8,.492,1.2,3.0,.398,3.1,5.8,.541,.560,1.7,2.2,.759,0.8,2.8,3.6,1.1,0.8,0.3,0.8,1.3,11.5
202,Tyrese Haliburton,PG,23,IND,36,36,32.8,8.2,16.6,.492,3.3,8.2,.395,4.9,8.4,.587,.590,3.4,3.9,.865,0.7,3.4,4.1,12.3,1.1,0.7,2.4,1.1,23.0
203,R.J. Hampton,PG,22,MIA,8,2,9.5,0.5,1.8,.286,0.1,1.0,.125,0.4,0.8,.500,.321,0.1,0.3,.500,0.3,0.5,0.8,1.0,0.0,0.0,0.4,1.0,1.3
204,Tim Hardaway Jr.,SF,31,DAL,45,10,30.2,6.2,14.8,.423,3.3,8.9,.366,3.0,5.8,.510,.533,2.6,3.0,.872,0.3,3.4,3.7,1.7,0.5,0.0,1.0,1.5,18.3
205,James Harden,PG,34,LAC,41,41,34.1,5.1,11.3,.452,2.7,6.6,.413,2.4,4.8,.505,.571,4.3,4.9,.876,0.3,4.6,4.9,8.5,1.2,0.9,2.6,2.1,17.2
206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,Jaden Hardy,SG,21,DAL,43,6,16.1,3.0,7.6,.391,1.4,3.9,.355,1.6,3.7,.428,.482,0.8,1.1,.702,0.3,1.8,2.1,1.8,0.3,0.1,0.8,1.2,8.0
208,Ron Harper Jr.,PF,23,TOR,1,0,4.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0
209,Gary Harris,SG,29,ORL,27,6,22.8,2.4,5.7,.429,1.3,4.0,.333,1.1,1.7,.652,.545,0.9,1.1,.774,0.5,1.2,1.7,1.9,0.9,0.2,0.5,1.7,7.1
210,Joe Harris,SG,32,DET,15,0,10.5,0.9,2.4,.361,0.7,1.9,.345,0.2,0.5,.429,.500,0.1,0.1,.500,0.2,0.7,0.9,0.7,0.2,0.1,0.3,1.2,2.5
211,Kevon Harris,SG,26,ORL,1,0,3.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
212,Tobias Harris,PF,31,PHI,44,44,34.0,6.8,13.3,.512,1.2,3.5,.344,5.6,9.8,.572,.557,3.1,3.5,.902,1.1,4.8,6.0,3.2,1.0,0.5,1.4,1.7,17.9
213,Shaquille Harrison,SG,30,MEM,3,0,2.0,0.3,0.7,.500,0.0,0.0,,0.3,0.7,.500,.500,0.0,0.0,,0.0,0.7,0.7,0.0,0.0,0.3,0.0,0.0,0.7
214,Josh Hart,SF,28,NYK,48,9,28.9,2.8,6.6,.432,0.8,2.8,.301,2.0,3.8,.527,.495,0.8,1.0,.833,1.3,5.5,6.8,3.0,0.8,0.3,1.2,1.8,7.3
215,Isaiah Hartenstein,C,25,NYK,47,21,25.4,2.8,4.4,.622,0.0,0.1,.333,2.7,4.4,.626,.624,1.3,1.9,.692,3.4,5.3,8.6,2.0,1.2,1.1,1.1,2.9,6.9
216,Sam Hauser,SF,26,BOS,48,5,21.7,2.9,6.4,.448,2.3,5.5,.417,0.6,0.9,.636,.627,0.2,0.3,.846,0.6,2.8,3.4,1.0,0.4,0.3,0.5,1.3,8.3
217,Jordan Hawkins,SG,21,NOP,43,10,21.7,3.4,8.4,.403,2.1,5.5,.388,1.3,2.9,.432,.530,1.4,1.7,.847,0.6,2.3,2.9,1.4,0.3,0.1,0.8,1.4,10.3
218,Jaxson Hayes,C,23,LAL,39,3,10.6,1.4,2.1,.691,0.0,0.1,.000,1.4,1.9,.737,.691,0.5,0.9,.588,0.6,1.4,2.0,0.4,0.4,0.4,0.5,1.8,3.4
219,Killian Hayes,PG,22,DET,41,30,23.9,2.8,6.7,.413,0.5,1.7,.286,2.3,5.0,.456,.449,0.8,1.2,.660,0.3,2.5,2.8,4.8,0.9,0.5,1.2,1.8,6.9
220,Gordon Hayward,SF,33,CHO,25,25,31.9,5.6,11.9,.468,0.9,2.4,.361,4.7,9.4,.496,.505,2.5,3.2,.765,1.0,3.7,4.7,4.6,1.1,0.5,2.0,1.8,14.5
221,Scoot Henderson,PG,19,POR,39,15,26.3,4.4,11.6,.374,1.2,3.8,.309,3.2,7.8,.407,.425,2.4,3.1,.790,0.8,2.1,2.9,4.6,0.6,0.3,3.0,3.0,12.3
222,Taylor Hendricks,PF,20,UTA,13,0,13.9,1.8,4.5,.397,0.9,2.7,.343,0.8,1.8,.478,.500,0.5,0.6,.750,0.8,1.4,2.2,0.5,0.7,0.5,0.7,0.9,4.9
223,Tyler Herro,SG,24,MIA,29,29,34.0,7.9,18.2,.433,3.3,8.3,.404,4.5,9.9,.456,.525,2.1,2.6,.838,0.6,4.9,5.4,4.2,1.0,0.1,2.3,1.5,21.2
224,Buddy Hield,SF,31,IND,49,28,25.9,4.4,10.1,.438,2.7,7.0,.383,1.7,3.1,.563,.571,0.6,0.7,.848,0.7,2.6,3.2,2.6,0.8,0.6,1.2,2.0,12.1
225,Haywood Highsmith,PF,27,MIA,34,22,21.2,2.2,5.0,.435,1.1,2.9,.390,1.0,2.1,.500,.550,0.6,0.7,.792,0.8,2.1,2.9,1.2,0.9,0.5,0.7,2.0,6.1
226,Nate Hinton,SG,24,HOU,8,0,4.3,0.6,1.4,.455,0.5,0.6,.800,0.1,0.8,.167,.636,0.0,0.0,,0.3,0.8,1.0,0.3,0.0,0.1,0.3,0.9,1.8
227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,D'Moi Hodge,SG,25,LAL,7,0,5.9,0.7,2.1,.333,0.4,1.7,.250,0.3,0.4,.667,.433,0.1,0.3,.500,0.0,0.0,0.0,0.7,0.1,0.1,0.1,0.6,2.0
229,Aaron Holiday,PG,27,HOU,44,1,17.2,2.3,5.3,.444,1.1,2.9,.394,1.2,2.4,.505,.552,0.7,0.8,.912,0.3,1.6,1.9,1.7,0.5,0.1,0.8,1.5,6.5
230,Jrue Holiday,PG,33,BOS,45,45,33.5,5.0,10.8,.465,2.0,4.8,.424,3.0,6.0,.498,.560,1.2,1.4,.828,1.4,4.6,6.0,4.6,0.8,0.8,1.9,1.6,13.3
231,Justin Holiday,SG,34,DEN,27,6,12.9,1.4,2.7,.500,0.8,1.9,.431,0.6,0.9,.652,.649,0.0,0.0,,0.1,1.0,1.1,0.9,0.6,0.1,0.2,1.2,3.6
232,Richaun Holmes,C,30,DAL,22,2,10.5,1.5,2.7,.559,0.0,0.0,,1.5,2.7,.559,.559,0.5,1.0,.571,1.5,2.0,3.5,0.6,0.1,0.4,0.5,1.5,3.5
233,Chet Holmgren,C,21,OKC,48,48,30.1,6.4,11.9,.533,1.6,4.1,.382,4.8,7.8,.614,.600,2.4,3.2,.770,1.5,6.1,7.6,2.7,0.6,2.6,1.7,2.5,16.7
234,Jalen Hood-Schifino,SG,20,LAL,15,0,6.1,0.5,2.3,.229,0.1,0.7,.091,0.5,1.6,.292,.243,0.7,1.1,.625,0.1,0.5,0.7,0.5,0.2,0.1,0.5,0.7,1.8
235,Al Horford,C,37,BOS,40,19,27.0,2.9,6.0,.479,1.7,4.0,.410,1.2,2.0,.620,.617,0.3,0.4,.857,1.3,5.6,6.8,2.9,0.5,1.0,0.8,1.6,7.7
236,Talen Horton-Tucker,PG,23,UTA,32,11,21.1,4.0,9.7,.411,1.2,3.6,.333,2.8,6.1,.456,.472,1.6,2.0,.800,0.4,2.1,2.5,4.1,1.0,0.3,1.6,1.9,10.8
237,Danuel House Jr.,SF,30,PHI,32,2,14.9,1.3,3.0,.442,0.5,1.5,.319,0.8,1.5,.563,.521,1.0,1.4,.750,0.4,1.1,1.6,0.8,0.5,0.2,0.6,1.3,4.1
238,Caleb Houstan,SF,21,ORL,36,7,15.6,1.6,4.1,.383,1.4,3.9,.360,0.2,0.3,.700,.550,0.5,0.6,.773,0.6,1.1,1.7,0.6,0.3,0.0,0.4,1.2,5.0
239,Jett Howard,SF,20,ORL,11,0,3.8,0.6,1.7,.368,0.4,1.3,.286,0.3,0.5,.600,.474,0.2,0.4,.500,0.1,0.4,0.5,0.3,0.0,0.1,0.2,0.1,1.8
240,Kevin Huerter,SG,25,SAC,44,39,24.9,4.1,9.1,.448,2.0,5.6,.364,2.0,3.5,.581,.560,0.6,0.8,.778,0.5,3.3,3.8,2.7,0.7,0.4,0.6,2.3,10.9
241,Jay Huff,C,25,DEN,6,0,2.8,0.5,1.0,.500,0.2,0.7,.250,0.3,0.3,1.000,.583,0.0,0.0,,0.0,0.2,0.2,0.2,0.0,0.0,0.2,0.8,1.2
242,De'Andre Hunter,SF,26,ATL,25,24,29.7,5.0,10.8,.459,1.9,4.8,.403,3.0,6.0,.503,.548,2.7,3.0,.907,0.6,3.4,4.0,1.4,0.8,0.4,1.6,2.9,14.6
243,Matthew Hurt,PF,23,MEM,1,0,23.0,3.0,6.0,.500,2.0,3.0,.667,1.0,3.0,.333,.667,2.0,2.0,1.000,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,10.0
244,Bones Hyland,PG,23,LAC,19,2,13.2,2.3,6.3,.367,1.1,3.4,.313,1.3,2.9,.429,.450,0.5,0.6,.833,0.2,0.7,0.9,1.7,0.5,0.1,1.2,1.4,6.2
245,Joe Ingles,SF,36,ORL,34,0,18.0,1.6,4.1,.396,1.0,2.7,.385,0.6,1.4,.417,.522,0.5,0.6,.850,0.4,2.1,2.6,3.1,0.7,0.1,1.0,1.6,4.8
246,Brandon Ingram,SF,26,NOP,44,44,33.1,8.0,16.4,.488,1.3,3.8,.349,6.7,12.5,.531,.529,4.1,5.2,.802,0.7,4.3,5.0,5.6,0.8,0.5,2.5,2.2,21.5
247,Kyrie Irving,SG,31,DAL,27,27,33.3,9.3,19.6,.472,2.9,7.0,.411,6.4,12.6,.506,.545,3.8,4.2,.895,0.8,4.3,5.1,5.3,1.3,0.4,1.6,1.9,25.2
248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,Jonathan Isaac,PF,26,ORL,30,1,14.1,2.3,4.8,.472,0.5,1.9,.281,1.7,2.9,.598,.528,1.2,1.6,.771,1.1,2.7,3.8,0.4,0.7,1.2,0.5,1.2,6.3
250,Jaden Ivey,SG,21,DET,43,27,26.7,5.0,11.1,.452,1.3,4.0,.333,3.7,7.1,.520,.513,2.9,4.0,.721,1.3,2.4,3.8,3.7,0.7,0.6,2.3,2.8,14.3
251,Andre Jackson Jr.,SG,22,MIL,39,8,11.5,1.1,2.0,.551,0.4,0.9,.389,0.7,1.1,.690,.641,0.2,0.2,.889,0.9,1.3,2.2,0.9,0.3,0.1,0.5,1.9,2.8
252,Gregory Jackson II,PF,19,MEM,16,0,16.3,2.8,6.2,.444,1.4,3.4,.407,1.4,2.8,.489,.556,1.6,2.1,.735,0.8,2.2,3.0,0.8,0.4,0.6,0.6,1.1,8.4
253,Isaiah Jackson,C,22,IND,36,1,13.4,2.8,4.1,.664,0.0,0.1,.000,2.8,4.1,.678,.664,1.3,1.8,.697,1.5,2.6,4.1,0.9,0.6,1.2,0.7,2.8,6.8
254,Jaren Jackson Jr.,C,24,MEM,46,46,31.8,7.5,16.9,.446,1.7,5.4,.316,5.8,11.5,.507,.496,5.2,6.2,.833,1.2,4.4,5.6,2.0,1.0,1.6,2.2,3.5,22.0
255,Reggie Jackson,PG,33,DEN,49,14,23.1,4.4,9.6,.459,1.3,3.6,.379,3.0,6.0,.507,.530,1.0,1.3,.774,0.4,1.7,2.1,4.0,0.6,0.2,1.4,1.9,11.1
256,Trayce Jackson-Davis,PF,23,GSW,33,3,14.1,2.9,4.2,.683,0.0,0.0,,2.9,4.2,.683,.683,1.0,1.8,.567,1.7,2.6,4.2,1.0,0.4,0.8,0.7,1.6,6.8
257,LeBron James,PF,39,LAL,44,44,34.7,9.3,17.9,.520,2.2,5.4,.397,7.2,12.5,.574,.581,4.1,5.6,.726,0.9,6.5,7.5,7.7,1.3,0.6,3.3,1.2,24.9
258,Jaime Jaquez Jr.,SF,22,MIA,42,15,29.8,5.1,10.3,.501,1.0,2.9,.341,4.1,7.3,.565,.550,2.1,2.5,.840,1.2,2.6,3.8,2.6,1.1,0.3,1.7,2.5,13.4
259,DaQuan Jeffries,SG,26,NYK,10,0,3.0,0.5,1.2,.417,0.1,0.5,.200,0.4,0.7,.571,.458,0.0,0.2,.000,0.0,0.5,0.5,0.2,0.0,0.0,0.1,0.2,1.1
260,Trey Jemison,C,24,TOT,3,0,5.0,0.7,0.7,1.000,0.0,0.0,,0.7,0.7,1.000,1.000,0.3,0.3,1.000,0.3,1.0,1.3,0.0,0.0,0.3,0.3,0.7,1.7
261,Trey Jemison,C,24,WAS,2,0,0.5,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.5,0.5,0.0,0.0,0.0,0.5,0.0,0.0
262,Trey Jemison,C,24,MEM,1,0,14.0,2.0,2.0,1.000,0.0,0.0,,2.0,2.0,1.000,1.000,1.0,1.0,1.000,1.0,2.0,3.0,0.0,0.0,1.0,0.0,2.0,5.0
263,Ty Jerome,SG,26,CLE,2,0,7.5,1.0,2.0,.500,0.0,0.5,.000,1.0,1.5,.667,.500,0.0,0.0,,0.5,0.0,0.5,1.5,0.0,0.0,0.5,1.0,2.0
264,Isaiah Joe,SG,24,OKC,47,0,18.8,3.0,6.4,.462,2.0,4.8,.424,0.9,1.6,.571,.620,0.7,0.8,.842,0.4,2.0,2.4,1.1,0.6,0.3,0.6,1.2,8.6
265,Cameron Johnson,PF,27,BRK,38,38,28.4,5.2,11.3,.457,2.5,6.1,.405,2.7,5.2,.518,.566,1.2,1.6,.738,1.1,3.5,4.6,2.6,0.8,0.2,0.9,1.9,14.0
266,Jalen Johnson,SF,22,ATL,33,30,33.0,6.2,11.4,.543,1.2,3.2,.371,5.0,8.2,.609,.594,2.0,2.7,.753,1.2,7.1,8.3,3.2,1.4,0.8,1.9,2.7,15.6
267,James Johnson,PF,36,IND,5,0,4.8,0.4,1.0,.400,0.0,0.2,.000,0.4,0.8,.500,.400,0.0,0.0,,0.2,0.6,0.8,1.0,0.8,0.0,0.4,0.8,0.8
268,Keldon Johnson,SF,24,SAS,45,26,30.6,6.0,13.4,.452,1.8,5.2,.338,4.3,8.2,.524,.517,2.8,3.6,.779,1.4,4.5,5.9,3.3,0.9,0.3,1.6,2.4,16.7
269,Keon Johnson,SG,21,BRK,1,0,21.0,3.0,8.0,.375,2.0,4.0,.500,1.0,4.0,.250,.500,4.0,4.0,1.000,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.0
270,Keyontae Johnson,SF,23,OKC,6,0,8.0,0.7,1.8,.364,0.2,0.3,.500,0.5,1.5,.333,.409,0.0,0.0,,0.5,0.5,1.0,0.7,0.0,0.0,0.5,0.5,1.5
271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,Nikola Jokić,C,28,DEN,47,47,33.7,10.2,17.5,.585,1.0,2.9,.358,9.2,14.6,.631,.615,4.8,5.9,.815,3.0,9.1,12.1,9.0,1.2,0.9,2.9,2.6,26.3
273,Colby Jones,SG,21,SAC,15,0,7.3,1.1,2.8,.381,0.1,0.9,.077,1.0,1.9,.517,.393,0.1,0.2,.667,0.6,0.8,1.4,0.6,0.3,0.1,0.3,1.0,2.3
274,Damian Jones,C,28,CLE,21,0,6.7,0.8,1.5,.531,0.1,0.3,.286,0.7,1.2,.600,.563,0.5,0.5,.909,0.4,1.0,1.5,0.4,0.1,0.4,0.4,0.7,2.2
275,Derrick Jones Jr.,SF,26,DAL,43,42,25.8,3.7,7.7,.486,1.4,3.9,.349,2.3,3.7,.631,.576,1.3,1.8,.737,1.2,2.4,3.6,1.0,0.8,0.8,1.0,1.9,10.1
276,Herbert Jones,SF,25,NOP,44,44,28.5,3.9,7.9,.494,1.4,3.5,.396,2.5,4.4,.573,.582,1.8,2.0,.856,1.1,2.5,3.6,2.5,1.1,0.9,1.2,2.8,10.9
277,Tre Jones,PG,24,SAS,43,14,25.7,3.7,7.5,.502,0.7,2.2,.298,3.1,5.3,.586,.545,1.3,1.5,.892,0.7,2.3,3.1,5.7,1.0,0.1,1.4,1.3,9.5
