Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 27,ORtg,DRtg
11,Jacob Gilyard,25,37,14,654,4.5,10.7,0.417,3.8,8.9,0.425,0.7,1.8,0.375,0.1,0.1,1.0,0.6,2.6,3.2,9.7,2.0,0.4,2.2,2.6,12.9,,123,117
12,Marcus Smart,29,20,20,605,8.2,19.1,0.43,3.4,10.8,0.313,4.8,8.3,0.583,3.5,4.5,0.768,0.5,3.8,4.3,6.9,3.3,0.4,5.0,4.3,23.2,,99,113
13,GG Jackson II,19,24,1,471,9.8,21.6,0.455,4.4,11.1,0.402,5.4,10.5,0.51,3.9,6.0,0.655,2.5,6.1,8.6,2.0,1.2,1.7,2.3,3.1,28.0,,110,115
14,Derrick Rose,35,22,7,378,9.3,20.5,0.453,1.9,5.1,0.375,7.3,15.3,0.479,3.1,3.5,0.889,0.9,4.6,5.5,9.4,1.0,0.3,3.6,2.7,23.6,,108,118
15,Ja Morant,24,9,9,318,12.2,26.0,0.471,2.1,7.8,0.275,10.1,18.2,0.555,8.0,9.8,0.813,0.9,6.7,7.6,11.2,1.1,0.8,4.1,2.9,34.6,,115,116
16,Scotty Pippen Jr.,23,8,4,181,7.5,15.9,0.475,3.5,6.2,0.565,4.0,9.7,0.417,4.0,5.6,0.714,2.2,5.1,7.3,9.7,2.2,1.1,4.0,5.6,22.6,,119,114
17,Jaylen Nowell,24,9,1,156,6.9,17.2,0.4,1.2,7.2,0.174,5.6,10.0,0.563,0.9,0.9,1.0,0.9,3.4,4.4,5.0,0.9,0.0,1.6,4.1,15.9,,98,119
18,Trey Jemison,24,7,3,140,5.9,12.5,0.472,0.0,0.0,,5.9,12.5,0.472,2.1,2.4,0.857,5.2,5.2,10.4,2.4,1.4,3.5,2.8,8.0,13.9,,104,112
19,Jake LaRavia,22,12,0,139,5.9,17.8,0.333,1.7,9.4,0.185,4.2,8.4,0.5,1.4,1.7,0.8,3.5,3.5,7.0,2.8,1.0,0.3,1.7,7.0,15.0,,91,118
20,Kenneth Lofton Jr.,21,15,0,99,6.9,18.2,0.378,1.5,4.9,0.3,5.4,13.3,0.407,3.9,7.4,0.533,1.0,6.4,7.4,6.9,1.5,1.5,2.9,7.4,19.2,,94,114
21,Lamar Stevens,26,4,0,91,10.2,19.8,0.514,1.1,1.6,0.667,9.1,18.2,0.5,2.7,4.8,0.556,2.7,12.3,15.0,1.6,1.1,2.7,2.7,3.7,24.1,,102,110
22,Tosan Evbuomwan,22,4,0,74,2.6,9.9,0.267,1.3,5.3,0.25,1.3,4.6,0.286,0.0,0.0,,5.3,3.9,9.2,3.9,0.0,0.7,0.7,3.3,6.6,,104,120
23,Matthew Hurt,23,3,0,56,5.2,15.6,0.333,1.7,8.7,0.2,3.5,6.9,0.5,2.6,2.6,1.0,3.5,1.7,5.2,2.6,0.0,0.9,0.0,1.7,14.8,,109,121
24,Jordan Goodwin,25,2,1,53,8.3,18.4,0.45,1.8,4.6,0.4,6.4,13.8,0.467,0.9,3.7,0.25,2.8,6.4,9.2,5.5,2.8,0.9,1.8,1.8,19.3,,103,112
25,Yuta Watanabe,29,2,0,36,6.8,18.9,0.357,1.4,10.8,0.125,5.4,8.1,0.667,0.0,0.0,,0.0,4.1,4.1,2.7,2.7,0.0,1.4,1.4,14.9,,81,115
26,Shaquille Harrison,30,3,0,6,8.1,16.2,0.5,0.0,0.0,,8.1,16.2,0.5,0.0,0.0,,0.0,16.2,16.2,0.0,0.0,8.1,0.0,0.0,16.2,,98,104
